experiment,rotation,quantity,mean_difference,q025_difference,q975_difference,fraction_positive,monte_carlo_standard_error
corrected_management_only_conservative,1,standing_biomass,2429.0176818243326,1525.0069842516446,3139.5949085724683,1.0,13.543257217434974
corrected_management_only_conservative,1,harvest,-229.97537316402793,-272.1126726021369,-196.05758572773388,0.0,0.6015931430627209
corrected_management_only_conservative,1,charcoal,-44.579460370780595,-53.91069463857899,-36.6738095824489,0.0,0.13703796745303212
corrected_management_only_conservative,2,standing_biomass,4181.694365469136,1874.5263348716633,7922.454290363807,1.0,49.93303429024861
corrected_management_only_conservative,2,harvest,-184.9975704926898,-283.38103725463156,-8.052396911631142,0.024,2.268446365736923
corrected_management_only_conservative,2,charcoal,-35.779489873702175,-54.74476509964627,-1.7624420082237435,0.024,0.4431917866220187
corrected_management_only_conservative,3,standing_biomass,4408.384824657431,1875.8109670467668,8367.978147419388,1.0,58.03997357758103
corrected_management_only_conservative,3,harvest,-158.35690315930546,-283.72716943770644,240.7216517272095,0.105,3.8768454984094647
corrected_management_only_conservative,3,charcoal,-30.714999028808943,-56.28988597063036,44.88034982900791,0.109,0.7565930976330872
corrected_management_only_intensive,1,standing_biomass,-3826.008954526613,-4989.226136423146,-2257.3357070613315,0.0,21.89040368425577
corrected_management_only_intensive,1,harvest,203.7749458733971,171.24502822967864,242.26041940562425,1.0,0.5550623480327348
corrected_management_only_intensive,1,charcoal,39.54104247827279,32.1360429643921,47.79770684620252,1.0,0.1286790711388581
corrected_management_only_intensive,2,standing_biomass,-7972.540950504961,-10746.771984982666,-4871.739577744182,0.0,50.95608699832915
corrected_management_only_intensive,2,harvest,-54.26138333489164,-292.89418823031394,216.75305004417893,0.417,5.344092878915341
corrected_management_only_intensive,2,charcoal,-10.545697353622694,-57.68924060548931,42.743687016794354,0.418,1.0366446122875685
corrected_management_only_intensive,3,standing_biomass,-8283.68535692173,-11649.21130763964,-4960.3422138011565,0.0,60.839118742101505
corrected_management_only_intensive,3,harvest,-96.02150620594206,-411.2386601525009,217.49159294813867,0.357,6.476638921961064
corrected_management_only_intensive,3,charcoal,-18.539123774114426,-79.83066618118228,42.68176931666951,0.356,1.2550000874711522
